id,name,category,cuisine,description,price,discount_percent,discounted_price,calories,prep_time_minutes,spice_level,dietary_tag,rating,review_count,is_available,is_featured,is_new,image_url,created_at
174,Crème Brûlée - Variant 6,Dessert,Chinese,"A sweet ending to your meal, made from premium ingredients. Crème Brûlée - Variant 6 is a customer favorite.",9.81,0,9.81,362,31,Mild,Vegan,4.1,672,Available,No,No,https://images.restaurant.com/food/dessert/0174.jpg,2024-01-06
175,Ice Cream Sundae,Dessert,Mexican,"A sweet ending to your meal, made from premium ingredients. Ice Cream Sundae is a customer favorite.",7.64,5,7.26,473,34,Extra Hot,Keto,3.9,717,Available,No,No,https://images.restaurant.com/food/dessert/0175.jpg,2024-01-13
176,Ice Cream Sundae - Variant 2,Dessert,French,"A sweet ending to your meal, made from premium ingredients. Ice Cream Sundae - Variant 2 is a customer favorite.",6.62,10,5.96,473,35,Extra Hot,Spicy,3.5,106,Available,No,No,https://images.restaurant.com/food/dessert/0176.jpg,2024-03-04
177,Ice Cream Sundae - Variant 3,Dessert,French,"A sweet ending to your meal, made from premium ingredients. Ice Cream Sundae - Variant 3 is a customer favorite.",5.68,0,5.68,513,6,Hot,Gluten-Free,4.9,448,Available,Yes,Yes,https://images.restaurant.com/food/dessert/0177.jpg,2023-05-21
178,Ice Cream Sundae - Variant 4,Dessert,Mexican,"A sweet ending to your meal, made from premium ingredients. Ice Cream Sundae - Variant 4 is a customer favorite.",7.49,0,7.49,1157,15,None,Spicy,3.9,96,Available,No,No,https://images.restaurant.com/food/dessert/0178.jpg,2024-01-10
179,Ice Cream Sundae - Variant 5,Dessert,Thai,"A sweet ending to your meal, made from premium ingredients. Ice Cream Sundae - Variant 5 is a customer favorite.",7.9,0,7.9,647,22,Hot,Halal,3.7,26,Available,No,No,https://images.restaurant.com/food/dessert/0179.jpg,2023-06-20
180,Apple Pie,Dessert,Chinese,"A sweet ending to your meal, made from premium ingredients. Apple Pie is a customer favorite.",7.26,0,7.26,644,10,None,Keto,4.0,732,Available,No,No,https://images.restaurant.com/food/dessert/0180.jpg,2024-10-29
181,Apple Pie - Variant 2,Dessert,Mexican,"A sweet ending to your meal, made from premium ingredients. Apple Pie - Variant 2 is a customer favorite.",7.04,0,7.04,1098,26,Hot,Keto,3.7,19,Sold Out,No,Yes,https://images.restaurant.com/food/dessert/0181.jpg,2023-10-12
182,Apple Pie - Variant 3,Dessert,French,"A sweet ending to your meal, made from premium ingredients. Apple Pie - Variant 3 is a customer favorite.",7.82,10,7.04,289,26,Hot,Vegan,3.7,763,Available,No,Yes,https://images.restaurant.com/food/dessert/0182.jpg,2023-10-18
183,Apple Pie - Variant 4,Dessert,French,"A sweet ending to your meal, made from premium ingredients. Apple Pie - Variant 4 is a customer favorite.",7.99,5,7.59,222,22,Hot,Gluten-Free,3.8,849,Available,No,No,https://images.restaurant.com/food/dessert/0183.jpg,2024-06-11
184,Apple Pie - Variant 5,Dessert,Chinese,"A sweet ending to your meal, made from premium ingredients. Apple Pie - Variant 5 is a customer favorite.",7.07,0,7.07,868,6,Extra Hot,Spicy,4.0,121,Available,No,No,https://images.restaurant.com/food/dessert/0184.jpg,2024-06-19
185,Panna Cotta,Dessert,French,"A sweet ending to your meal, made from premium ingredients. Panna Cotta is a customer favorite.",7.8,5,7.41,502,7,None,Dairy-Free,3.8,228,Available,Yes,Yes,https://images.restaurant.com/food/dessert/0185.jpg,2023-05-19
186,Panna Cotta - Variant 2,Dessert,Chinese,"A sweet ending to your meal, made from premium ingredients. Panna Cotta - Variant 2 is a customer favorite.",8.74,5,8.3,846,34,Medium,Low-Carb,4.4,212,Available,No,No,https://images.restaurant.com/food/dessert/0186.jpg,2023-07-27
187,Panna Cotta - Variant 3,Dessert,French,"A sweet ending to your meal, made from premium ingredients. Panna Cotta - Variant 3 is a customer favorite.",8.67,0,8.67,352,15,Extra Hot,Vegan,4.2,519,Available,Yes,No,https://images.restaurant.com/food/dessert/0187.jpg,2024-04-11
188,Panna Cotta - Variant 4,Dessert,French,"A sweet ending to your meal, made from premium ingredients. Panna Cotta - Variant 4 is a customer favorite.",7.06,0,7.06,523,6,Mild,Dairy-Free,4.1,305,Available,No,No,https://images.restaurant.com/food/dessert/0188.jpg,2024-01-07
189,Baklava,Dessert,Mediterranean,"A sweet ending to your meal, made from premium ingredients. Baklava is a customer favorite.",6.59,10,5.93,390,43,None,Spicy,4.6,690,Available,No,No,https://images.restaurant.com/food/dessert/0189.jpg,2024-10-24
190,Baklava - Variant 2,Dessert,Mediterranean,"A sweet ending to your meal, made from premium ingredients. Baklava - Variant 2 is a customer favorite.",6.83,10,6.15,532,19,Extra Hot,Vegan,4.1,623,Available,No,No,https://images.restaurant.com/food/dessert/0190.jpg,2023-12-04
191,Baklava - Variant 3,Dessert,French,"A sweet ending to your meal, made from premium ingredients. Baklava - Variant 3 is a customer favorite.",6.56,15,5.58,441,14,None,Keto,3.9,97,Sold Out,No,No,https://images.restaurant.com/food/dessert/0191.jpg,2023-07-04
192,Baklava - Variant 4,Dessert,Mediterranean,"A sweet ending to your meal, made from premium ingredients. Baklava - Variant 4 is a customer favorite.",6.77,0,6.77,881,19,Extra Hot,Dairy-Free,4.9,121,Available,Yes,No,https://images.restaurant.com/food/dessert/0192.jpg,2023-06-19
193,Baklava - Variant 5,Dessert,Thai,"A sweet ending to your meal, made from premium ingredients. Baklava - Variant 5 is a customer favorite.",7.26,0,7.26,515,6,Mild,Vegetarian,3.8,831,Sold Out,No,No,https://images.restaurant.com/food/dessert/0193.jpg,2023-08-27
194,Baklava - Variant 6,Dessert,French,"A sweet ending to your meal, made from premium ingredients. Baklava - Variant 6 is a customer favorite.",6.13,5,5.82,1050,19,Extra Hot,Nut-Free,4.0,224,Available,Yes,No,https://images.restaurant.com/food/dessert/0194.jpg,2023-05-01
195,Mango Sorbet,Dessert,Chinese,"A sweet ending to your meal, made from premium ingredients. Mango Sorbet is a customer favorite.",6.5,20,5.2,171,32,Hot,None,4.2,58,Available,Yes,No,https://images.restaurant.com/food/dessert/0195.jpg,2023-05-09
196,Mango Sorbet - Variant 2,Dessert,French,"A sweet ending to your meal, made from premium ingredients. Mango Sorbet - Variant 2 is a customer favorite.",5.91,15,5.02,728,24,Mild,Keto,3.6,347,Available,No,Yes,https://images.restaurant.com/food/dessert/0196.jpg,2023-05-08
197,Mango Sorbet - Variant 3,Dessert,French,"A sweet ending to your meal, made from premium ingredients. Mango Sorbet - Variant 3 is a customer favorite.",5.18,20,4.14,310,38,Medium,Gluten-Free,4.5,288,Available,No,Yes,https://images.restaurant.com/food/dessert/0197.jpg,2024-09-13
198,Mango Sorbet - Variant 4,Dessert,Mexican,"A sweet ending to your meal, made from premium ingredients. Mango Sorbet - Variant 4 is a customer favorite.",5.26,0,5.26,213,44,Mild,Vegan,3.7,533,Sold Out,No,No,https://images.restaurant.com/food/dessert/0198.jpg,2023-07-22
199,Mango Sorbet - Variant 5,Dessert,Thai,"A sweet ending to your meal, made from premium ingredients. Mango Sorbet - Variant 5 is a customer favorite.",6.14,10,5.53,417,25,Hot,Nut-Free,4.1,503,Available,Yes,No,https://images.restaurant.com/food/dessert/0199.jpg,2024-02-07
200,Sticky Toffee Pudding,Dessert,Mediterranean,"A sweet ending to your meal, made from premium ingredients. Sticky Toffee Pudding is a customer favorite.",9.29,10,8.36,421,33,Mild,Low-Carb,4.4,177,Available,No,Yes,https://images.restaurant.com/food/dessert/0200.jpg,2024-03-29
201,Sticky Toffee Pudding - Variant 2,Dessert,Chinese,"A sweet ending to your meal, made from premium ingredients. Sticky Toffee Pudding - Variant 2 is a customer favorite.",8.54,0,8.54,874,30,Extra Hot,Gluten-Free,4.6,524,Available,No,No,https://images.restaurant.com/food/dessert/0201.jpg,2024-02-22
202,Sticky Toffee Pudding - Variant 3,Dessert,Chinese,"A sweet ending to your meal, made from premium ingredients. Sticky Toffee Pudding - Variant 3 is a customer favorite.",8.5,5,8.07,1036,44,Mild,None,4.5,288,Sold Out,No,Yes,https://images.restaurant.com/food/dessert/0202.jpg,2024-04-02
203,Sticky Toffee Pudding - Variant 4,Dessert,Chinese,"A sweet ending to your meal, made from premium ingredients. Sticky Toffee Pudding - Variant 4 is a customer favorite.",8.0,10,7.2,845,14,Medium,Low-Carb,4.6,801,Sold Out,No,Yes,https://images.restaurant.com/food/dessert/0203.jpg,2023-11-29
204,Sticky Toffee Pudding - Variant 5,Dessert,Mexican,"A sweet ending to your meal, made from premium ingredients. Sticky Toffee Pudding - Variant 5 is a customer favorite.",8.78,15,7.46,1173,40,Hot,Nut-Free,4.6,41,Available,No,No,https://images.restaurant.com/food/dessert/0204.jpg,2024-01-05
205,Churros,Dessert,Mediterranean,"A sweet ending to your meal, made from premium ingredients. Churros is a customer favorite.",6.82,5,6.48,202,6,Medium,Spicy,4.3,523,Available,No,No,https://images.restaurant.com/food/dessert/0205.jpg,2023-07-20
206,Churros - Variant 2,Dessert,Thai,"A sweet ending to your meal, made from premium ingredients. Churros - Variant 2 is a customer favorite.",7.27,15,6.18,176,33,Medium,Keto,4.9,696,Sold Out,No,No,https://images.restaurant.com/food/dessert/0206.jpg,2023-02-07
207,Churros - Variant 3,Dessert,French,"A sweet ending to your meal, made from premium ingredients. Churros - Variant 3 is a customer favorite.",6.65,0,6.65,984,16,Medium,Keto,4.1,730,Available,Yes,No,https://images.restaurant.com/food/dessert/0207.jpg,2023-03-01
208,Churros - Variant 4,Dessert,Thai,"A sweet ending to your meal, made from premium ingredients. Churros - Variant 4 is a customer favorite.",7.44,5,7.07,202,33,Medium,Halal,5.0,132,Available,No,Yes,https://images.restaurant.com/food/dessert/0208.jpg,2024-06-19
209,Churros - Variant 5,Dessert,Thai,"A sweet ending to your meal, made from premium ingredients. Churros - Variant 5 is a customer favorite.",6.75,10,6.08,1155,19,Hot,Vegan,4.1,585,Available,No,Yes,https://images.restaurant.com/food/dessert/0209.jpg,2024-08-07
210,Macarons,Dessert,Chinese,"A sweet ending to your meal, made from premium ingredients. Macarons is a customer favorite.",6.53,0,6.53,1051,13,None,Nut-Free,3.8,329,Available,No,No,https://images.restaurant.com/food/dessert/0210.jpg,2024-05-04
211,Macarons - Variant 2,Dessert,Chinese,"A sweet ending to your meal, made from premium ingredients. Macarons - Variant 2 is a customer favorite.",7.06,5,6.71,389,14,Extra Hot,None,4.7,535,Available,No,No,https://images.restaurant.com/food/dessert/0211.jpg,2024-06-27
212,Macarons - Variant 3,Dessert,Mexican,"A sweet ending to your meal, made from premium ingredients. Macarons - Variant 3 is a customer favorite.",7.32,10,6.59,1157,26,Medium,Halal,3.5,835,Sold Out,Yes,No,https://images.restaurant.com/food/dessert/0212.jpg,2024-06-13
213,Macarons - Variant 4,Dessert,Mediterranean,"A sweet ending to your meal, made from premium ingredients. Macarons - Variant 4 is a customer favorite.",8.47,0,8.47,208,23,None,Vegetarian,3.8,189,Sold Out,No,No,https://images.restaurant.com/food/dessert/0213.jpg,2023-10-17
214,Macarons - Variant 5,Dessert,Chinese,"A sweet ending to your meal, made from premium ingredients. Macarons - Variant 5 is a customer favorite.",7.07,0,7.07,906,26,Mild,Vegetarian,4.1,139,Sold Out,No,No,https://images.restaurant.com/food/dessert/0214.jpg,2024-07-12
215,Macarons - Variant 6,Dessert,Chinese,"A sweet ending to your meal, made from premium ingredients. Macarons - Variant 6 is a customer favorite.",8.37,10,7.53,997,24,Hot,Halal,4.8,175,Sold Out,No,Yes,https://images.restaurant.com/food/dessert/0215.jpg,2023-04-16
216,Tres Leches Cake,Dessert,Mediterranean,"A sweet ending to your meal, made from premium ingredients. Tres Leches Cake is a customer favorite.",7.54,20,6.03,572,19,Extra Hot,Nut-Free,4.3,645,Available,No,No,https://images.restaurant.com/food/dessert/0216.jpg,2023-02-07
217,Tres Leches Cake - Variant 2,Dessert,Mexican,"A sweet ending to your meal, made from premium ingredients. Tres Leches Cake - Variant 2 is a customer favorite.",7.08,0,7.08,758,6,Medium,Spicy,3.6,346,Available,Yes,Yes,https://images.restaurant.com/food/dessert/0217.jpg,2023-02-20
218,Tres Leches Cake - Variant 3,Dessert,Chinese,"A sweet ending to your meal, made from premium ingredients. Tres Leches Cake - Variant 3 is a customer favorite.",9.4,10,8.46,791,20,None,Vegetarian,4.0,826,Available,No,No,https://images.restaurant.com/food/dessert/0218.jpg,2023-03-05
219,Key Lime Pie,Dessert,Mexican,"A sweet ending to your meal, made from premium ingredients. Key Lime Pie is a customer favorite.",7.04,0,7.04,786,13,Medium,Halal,3.8,303,Available,No,No,https://images.restaurant.com/food/dessert/0219.jpg,2024-04-19
220,Key Lime Pie - Variant 2,Dessert,Mexican,"A sweet ending to your meal, made from premium ingredients. Key Lime Pie - Variant 2 is a customer favorite.",6.37,0,6.37,430,10,Medium,Gluten-Free,4.9,326,Available,No,No,https://images.restaurant.com/food/dessert/0220.jpg,2024-05-10
221,Key Lime Pie - Variant 3,Dessert,Mediterranean,"A sweet ending to your meal, made from premium ingredients. Key Lime Pie - Variant 3 is a customer favorite.",6.44,5,6.12,684,36,Extra Hot,Nut-Free,4.1,464,Available,No,No,https://images.restaurant.com/food/dessert/0221.jpg,2023-08-06
222,Key Lime Pie - Variant 4,Dessert,French,"A sweet ending to your meal, made from premium ingredients. Key Lime Pie - Variant 4 is a customer favorite.",7.36,20,5.89,416,35,Mild,Dairy-Free,3.5,669,Sold Out,No,No,https://images.restaurant.com/food/dessert/0222.jpg,2023-01-23
223,Fresh Orange Juice,Beverage,Italian,A refreshing drink crafted with natural ingredients. Fresh Orange Juice is a customer favorite.,4.38,10,3.94,648,44,Hot,Vegan,4.6,173,Available,No,No,https://images.restaurant.com/food/beverage/0223.jpg,2023-07-05
224,Fresh Orange Juice - Variant 2,Beverage,French,A refreshing drink crafted with natural ingredients. Fresh Orange Juice - Variant 2 is a customer favorite.,4.25,0,4.25,799,32,Extra Hot,Dairy-Free,4.1,647,Available,No,Yes,https://images.restaurant.com/food/beverage/0224.jpg,2024-09-21
225,Fresh Orange Juice - Variant 3,Beverage,American,A refreshing drink crafted with natural ingredients. Fresh Orange Juice - Variant 3 is a customer favorite.,5.78,0,5.78,559,8,Medium,Halal,4.2,562,Available,Yes,Yes,https://images.restaurant.com/food/beverage/0225.jpg,2024-10-18
226,Mango Lassi,Beverage,Italian,A refreshing drink crafted with natural ingredients. Mango Lassi is a customer favorite.,5.82,5,5.53,167,10,Extra Hot,Halal,3.7,303,Available,No,No,https://images.restaurant.com/food/beverage/0226.jpg,2023-03-17
227,Mango Lassi - Variant 2,Beverage,French,A refreshing drink crafted with natural ingredients. Mango Lassi - Variant 2 is a customer favorite.,5.33,5,5.06,935,33,Extra Hot,Keto,4.1,407,Available,Yes,No,https://images.restaurant.com/food/beverage/0227.jpg,2023-08-28
228,Mango Lassi - Variant 3,Beverage,Korean,A refreshing drink crafted with natural ingredients. Mango Lassi - Variant 3 is a customer favorite.,5.81,0,5.81,647,41,Medium,Spicy,3.6,391,Sold Out,No,No,https://images.restaurant.com/food/beverage/0228.jpg,2024-07-05
229,Mango Lassi - Variant 4,Beverage,Korean,A refreshing drink crafted with natural ingredients. Mango Lassi - Variant 4 is a customer favorite.,5.14,0,5.14,853,6,None,Vegan,4.2,782,Sold Out,Yes,Yes,https://images.restaurant.com/food/beverage/0229.jpg,2024-03-14
230,Mango Lassi - Variant 5,Beverage,French,A refreshing drink crafted with natural ingredients. Mango Lassi - Variant 5 is a customer favorite.,5.29,0,5.29,981,37,None,Halal,4.4,189,Sold Out,Yes,No,https://images.restaurant.com/food/beverage/0230.jpg,2023-03-31
231,Mango Lassi - Variant 6,Beverage,French,A refreshing drink crafted with natural ingredients. Mango Lassi - Variant 6 is a customer favorite.,4.56,0,4.56,1148,9,Hot,Low-Carb,3.6,532,Available,No,No,https://images.restaurant.com/food/beverage/0231.jpg,2023-12-06
232,Iced Coffee,Beverage,American,A refreshing drink crafted with natural ingredients. Iced Coffee is a customer favorite.,4.84,20,3.87,732,24,Hot,Dairy-Free,4.6,703,Available,Yes,No,https://images.restaurant.com/food/beverage/0232.jpg,2024-11-29
233,Iced Coffee - Variant 2,Beverage,American,A refreshing drink crafted with natural ingredients. Iced Coffee - Variant 2 is a customer favorite.,4.9,0,4.9,1190,11,None,None,4.9,609,Available,No,Yes,https://images.restaurant.com/food/beverage/0233.jpg,2024-10-24
234,Iced Coffee - Variant 3,Beverage,Lebanese,A refreshing drink crafted with natural ingredients. Iced Coffee - Variant 3 is a customer favorite.,3.71,0,3.71,266,27,Extra Hot,Spicy,4.7,439,Available,No,No,https://images.restaurant.com/food/beverage/0234.jpg,2024-08-13
235,Iced Coffee - Variant 4,Beverage,Lebanese,A refreshing drink crafted with natural ingredients. Iced Coffee - Variant 4 is a customer favorite.,4.6,5,4.37,1011,38,Mild,None,4.4,170,Available,No,No,https://images.restaurant.com/food/beverage/0235.jpg,2024-06-09
236,Iced Coffee - Variant 5,Beverage,Lebanese,A refreshing drink crafted with natural ingredients. Iced Coffee - Variant 5 is a customer favorite.,3.81,0,3.81,185,26,Hot,Vegan,4.7,439,Sold Out,No,Yes,https://images.restaurant.com/food/beverage/0236.jpg,2023-02-06
237,Iced Coffee - Variant 6,Beverage,Italian,A refreshing drink crafted with natural ingredients. Iced Coffee - Variant 6 is a customer favorite.,4.43,20,3.54,567,22,Medium,Nut-Free,5.0,790,Available,No,Yes,https://images.restaurant.com/food/beverage/0237.jpg,2024-09-22
238,Green Tea,Beverage,American,A refreshing drink crafted with natural ingredients. Green Tea is a customer favorite.,3.33,0,3.33,815,33,Extra Hot,Vegan,4.1,23,Available,Yes,Yes,https://images.restaurant.com/food/beverage/0238.jpg,2023-04-19
239,Green Tea - Variant 2,Beverage,American,A refreshing drink crafted with natural ingredients. Green Tea - Variant 2 is a customer favorite.,3.4,5,3.23,723,26,Mild,Dairy-Free,3.6,205,Available,No,Yes,https://images.restaurant.com/food/beverage/0239.jpg,2023-09-02
240,Green Tea - Variant 3,Beverage,French,A refreshing drink crafted with natural ingredients. Green Tea - Variant 3 is a customer favorite.,4.41,0,4.41,288,42,Medium,Halal,3.6,126,Available,No,No,https://images.restaurant.com/food/beverage/0240.jpg,2023-12-27
241,Green Tea - Variant 4,Beverage,Korean,A refreshing drink crafted with natural ingredients. Green Tea - Variant 4 is a customer favorite.,3.0,20,2.4,558,9,Extra Hot,Halal,4.3,131,Available,Yes,No,https://images.restaurant.com/food/beverage/0241.jpg,2023-07-15
242,Green Tea - Variant 5,Beverage,Italian,A refreshing drink crafted with natural ingredients. Green Tea - Variant 5 is a customer favorite.,3.28,20,2.62,1112,36,Hot,Gluten-Free,3.7,517,Sold Out,No,Yes,https://images.restaurant.com/food/beverage/0242.jpg,2024-07-13
243,Green Tea - Variant 6,Beverage,French,A refreshing drink crafted with natural ingredients. Green Tea - Variant 6 is a customer favorite.,3.09,15,2.63,986,43,None,Keto,3.6,597,Sold Out,No,No,https://images.restaurant.com/food/beverage/0243.jpg,2024-07-02
244,Lemonade,Beverage,Lebanese,A refreshing drink crafted with natural ingredients. Lemonade is a customer favorite.,3.82,5,3.63,473,21,Extra Hot,Dairy-Free,3.7,26,Available,Yes,Yes,https://images.restaurant.com/food/beverage/0244.jpg,2023-05-15
245,Lemonade - Variant 2,Beverage,Lebanese,A refreshing drink crafted with natural ingredients. Lemonade - Variant 2 is a customer favorite.,4.42,5,4.2,223,24,Medium,Spicy,3.7,196,Available,No,No,https://images.restaurant.com/food/beverage/0245.jpg,2024-06-29
246,Lemonade - Variant 3,Beverage,Lebanese,A refreshing drink crafted with natural ingredients. Lemonade - Variant 3 is a customer favorite.,3.57,20,2.86,1004,36,None,Dairy-Free,4.2,85,Available,No,Yes,https://images.restaurant.com/food/beverage/0246.jpg,2024-05-05
247,Lemonade - Variant 4,Beverage,Italian,A refreshing drink crafted with natural ingredients. Lemonade - Variant 4 is a customer favorite.,4.43,0,4.43,898,5,Mild,Dairy-Free,4.7,93,Sold Out,No,Yes,https://images.restaurant.com/food/beverage/0247.jpg,2023-12-18
248,Lemonade - Variant 5,Beverage,Italian,A refreshing drink crafted with natural ingredients. Lemonade - Variant 5 is a customer favorite.,4.25,10,3.83,875,41,Extra Hot,Gluten-Free,4.8,334,Available,No,No,https://images.restaurant.com/food/beverage/0248.jpg,2024-06-19
249,Lemonade - Variant 6,Beverage,American,A refreshing drink crafted with natural ingredients. Lemonade - Variant 6 is a customer favorite.,3.49,0,3.49,1147,18,Medium,None,3.6,506,Available,No,No,https://images.restaurant.com/food/beverage/0249.jpg,2023-04-24
250,Smoothie Bowl,Beverage,Korean,A refreshing drink crafted with natural ingredients. Smoothie Bowl is a customer favorite.,8.11,0,8.11,866,24,Hot,Vegetarian,4.9,357,Sold Out,Yes,No,https://images.restaurant.com/food/beverage/0250.jpg,2024-05-13
251,Smoothie Bowl - Variant 2,Beverage,French,A refreshing drink crafted with natural ingredients. Smoothie Bowl - Variant 2 is a customer favorite.,9.14,20,7.31,799,35,Hot,None,5.0,369,Available,No,No,https://images.restaurant.com/food/beverage/0251.jpg,2024-11-12
252,Smoothie Bowl - Variant 3,Beverage,Italian,A refreshing drink crafted with natural ingredients. Smoothie Bowl - Variant 3 is a customer favorite.,9.49,5,9.02,604,15,Mild,Spicy,5.0,442,Available,No,No,https://images.restaurant.com/food/beverage/0252.jpg,2023-09-27
253,Smoothie Bowl - Variant 4,Beverage,Italian,A refreshing drink crafted with natural ingredients. Smoothie Bowl - Variant 4 is a customer favorite.,8.21,0,8.21,1031,8,None,Spicy,4.2,299,Sold Out,Yes,No,https://images.restaurant.com/food/beverage/0253.jpg,2023-04-18
254,Strawberry Milkshake,Beverage,Korean,A refreshing drink crafted with natural ingredients. Strawberry Milkshake is a customer favorite.,5.69,0,5.69,622,16,Hot,Halal,3.8,268,Sold Out,No,Yes,https://images.restaurant.com/food/beverage/0254.jpg,2024-03-04
255,Strawberry Milkshake - Variant 2,Beverage,French,A refreshing drink crafted with natural ingredients. Strawberry Milkshake - Variant 2 is a customer favorite.,5.96,0,5.96,758,37,None,Gluten-Free,4.1,258,Available,No,Yes,https://images.restaurant.com/food/beverage/0255.jpg,2024-03-07
256,Strawberry Milkshake - Variant 3,Beverage,Korean,A refreshing drink crafted with natural ingredients. Strawberry Milkshake - Variant 3 is a customer favorite.,6.37,0,6.37,238,18,Extra Hot,Dairy-Free,4.7,63,Available,Yes,Yes,https://images.restaurant.com/food/beverage/0256.jpg,2023-10-14
257,Strawberry Milkshake - Variant 4,Beverage,American,A refreshing drink crafted with natural ingredients. Strawberry Milkshake - Variant 4 is a customer favorite.,6.54,10,5.89,787,12,Medium,Halal,4.9,529,Available,Yes,No,https://images.restaurant.com/food/beverage/0257.jpg,2023-07-24
258,Sparkling Water,Beverage,French,A refreshing drink crafted with natural ingredients. Sparkling Water is a customer favorite.,2.16,10,1.94,621,12,Medium,Low-Carb,4.6,209,Sold Out,Yes,No,https://images.restaurant.com/food/beverage/0258.jpg,2024-07-30
259,Sparkling Water - Variant 2,Beverage,French,A refreshing drink crafted with natural ingredients. Sparkling Water - Variant 2 is a customer favorite.,2.21,0,2.21,153,22,None,Spicy,3.7,310,Available,No,No,https://images.restaurant.com/food/beverage/0259.jpg,2023-06-04
260,Sparkling Water - Variant 3,Beverage,Lebanese,A refreshing drink crafted with natural ingredients. Sparkling Water - Variant 3 is a customer favorite.,3.1,10,2.79,1075,34,Medium,Spicy,3.8,665,Available,No,Yes,https://images.restaurant.com/food/beverage/0260.jpg,2023-12-29
261,Sparkling Water - Variant 4,Beverage,Italian,A refreshing drink crafted with natural ingredients. Sparkling Water - Variant 4 is a customer favorite.,2.45,0,2.45,869,30,None,Gluten-Free,4.3,345,Available,No,No,https://images.restaurant.com/food/beverage/0261.jpg,2024-04-04
262,Sparkling Water - Variant 5,Beverage,Italian,A refreshing drink crafted with natural ingredients. Sparkling Water - Variant 5 is a customer favorite.,2.6,20,2.08,411,22,Extra Hot,Keto,3.8,123,Sold Out,Yes,No,https://images.restaurant.com/food/beverage/0262.jpg,2023-11-08
263,Sparkling Water - Variant 6,Beverage,American,A refreshing drink crafted with natural ingredients. Sparkling Water - Variant 6 is a customer favorite.,3.06,10,2.75,342,12,Extra Hot,Keto,4.2,151,Available,No,No,https://images.restaurant.com/food/beverage/0263.jpg,2024-06-03
264,Masala Chai,Beverage,American,A refreshing drink crafted with natural ingredients. Masala Chai is a customer favorite.,3.83,15,3.26,622,33,Mild,Dairy-Free,3.9,563,Available,Yes,Yes,https://images.restaurant.com/food/beverage/0264.jpg,2023-01-25
265,Masala Chai - Variant 2,Beverage,American,A refreshing drink crafted with natural ingredients. Masala Chai - Variant 2 is a customer favorite.,3.87,20,3.1,879,44,Mild,Keto,4.6,21,Available,No,No,https://images.restaurant.com/food/beverage/0265.jpg,2023-01-28
266,Masala Chai - Variant 3,Beverage,Italian,A refreshing drink crafted with natural ingredients. Masala Chai - Variant 3 is a customer favorite.,4.67,0,4.67,591,20,Mild,Nut-Free,4.6,345,Sold Out,No,No,https://images.restaurant.com/food/beverage/0266.jpg,2024-08-28
267,Masala Chai - Variant 4,Beverage,Italian,A refreshing drink crafted with natural ingredients. Masala Chai - Variant 4 is a customer favorite.,4.28,0,4.28,978,40,Hot,Nut-Free,3.6,155,Available,No,No,https://images.restaurant.com/food/beverage/0267.jpg,2023-10-03
268,Masala Chai - Variant 5,Beverage,Italian,A refreshing drink crafted with natural ingredients. Masala Chai - Variant 5 is a customer favorite.,4.59,15,3.9,184,33,Extra Hot,Halal,4.4,412,Available,No,No,https://images.restaurant.com/food/beverage/0268.jpg,2024-02-18
269,Cold Brew Coffee,Beverage,Korean,A refreshing drink crafted with natural ingredients. Cold Brew Coffee is a customer favorite.,5.89,20,4.71,919,10,Mild,Low-Carb,3.6,596,Available,No,No,https://images.restaurant.com/food/beverage/0269.jpg,2024-10-15
270,Cold Brew Coffee - Variant 2,Beverage,Korean,A refreshing drink crafted with natural ingredients. Cold Brew Coffee - Variant 2 is a customer favorite.,5.12,20,4.1,760,6,Medium,Nut-Free,3.6,369,Available,Yes,No,https://images.restaurant.com/food/beverage/0270.jpg,2024-10-20
271,Cold Brew Coffee - Variant 3,Beverage,French,A refreshing drink crafted with natural ingredients. Cold Brew Coffee - Variant 3 is a customer favorite.,5.98,0,5.98,338,22,Hot,Keto,4.7,106,Available,Yes,No,https://images.restaurant.com/food/beverage/0271.jpg,2024-09-06
272,Cold Brew Coffee - Variant 4,Beverage,Korean,A refreshing drink crafted with natural ingredients. Cold Brew Coffee - Variant 4 is a customer favorite.,4.49,20,3.59,733,11,Extra Hot,Dairy-Free,3.8,417,Available,Yes,No,https://images.restaurant.com/food/beverage/0272.jpg,2024-09-04
273,Cold Brew Coffee - Variant 5,Beverage,Lebanese,A refreshing drink crafted with natural ingredients. Cold Brew Coffee - Variant 5 is a customer favorite.,4.67,0,4.67,280,26,None,Low-Carb,4.6,343,Sold Out,Yes,No,https://images.restaurant.com/food/beverage/0273.jpg,2023-07-12
274,Watermelon Juice,Beverage,Lebanese,A refreshing drink crafted with natural ingredients. Watermelon Juice is a customer favorite.,4.97,0,4.97,248,7,Hot,Vegetarian,3.8,653,Available,No,Yes,https://images.restaurant.com/food/beverage/0274.jpg,2023-10-01
275,Watermelon Juice - Variant 2,Beverage,Italian,A refreshing drink crafted with natural ingredients. Watermelon Juice - Variant 2 is a customer favorite.,5.19,5,4.93,602,25,Hot,Dairy-Free,4.7,202,Available,No,Yes,https://images.restaurant.com/food/beverage/0275.jpg,2023-09-28
